Year,Type of Dwelling,Region and County,County,Average Floor Area per Unit,Planning Permissions Granted,Total Floor Area for which Permission Granted,Units for which Permission Granted
2005,One off houses,Monaghan,Monaghan,251,530,133,530
2005,One off houses,Offaly,Offaly,219,407,89,407
2005,One off houses,Roscommon,Roscommon,199,836,166,836
2005,One off houses,Sligo,Sligo,214,532,114,532
2005,One off houses,Waterford,Waterford,219,406,89,406
2005,One off houses,Westmeath,Westmeath,227,353,80,353
2005,One off houses,Wexford,Wexford,215,1105,238,1105
2005,One off houses,Wicklow,Wicklow,203,601,122,601
2005,Private flats/apartments,Carlow,Carlow,91,22,46,505
2005,Private flats/apartments,Cavan,Cavan,80,44,28,349
2005,Private flats/apartments,Clare,Clare,70,51,26,370
2005,Private flats/apartments,Cork,Cork,78,181,150,1919
2005,Private flats/apartments,Donegal,Donegal,97,82,76,783
2005,Private flats/apartments,Dublin,Dublin,77,385,683,8856
2005,Private flats/apartments,Galway,Galway,75,66,45,597
2005,Private flats/apartments,Kerry,Kerry,79,59,27,343
2005,Private flats/apartments,Kildare,Kildare,73,63,71,977
2005,Private flats/apartments,Kilkenny,Kilkenny,80,29,26,326
2005,Private flats/apartments,Laois,Laois,77,40,32,413
2005,Private flats/apartments,Leitrim,Leitrim,78,27,20,255
2005,Private flats/apartments,Limerick,Limerick,73,41,27,368
2005,Private flats/apartments,Longford,Longford,72,39,19,264
